,movie_title,year,place,star_cast,rating,director
220,Into the Wild,2007-01-01,221," Emile Hirsch,  Vince Vaughn",8.035425965708562,Sean Penn
221,Ratatouille,2007-01-01,222," Brad Garrett,  Lou Romano",8.035287736239221,Brad Bird
222,The Wizard of Oz,1939-01-01,223," Judy Garland,  Frank Morgan",8.034793051873427,Victor Fleming
223,Groundhog Day,1993-01-01,224," Bill Murray,  Andie MacDowell",8.031909125314298,Harold Ramis
224,Before Sunset,2004-01-01,225," Ethan Hawke,  Julie Delpy",8.029811177075258,Richard Linklater
225,The Exorcist,1973-01-01,226," Ellen Burstyn,  Max von Sydow",8.027857042526255,William Friedkin
226,The Best Years of Our Lives,1946-01-01,227," Myrna Loy,  Dana Andrews",8.026240138774918,William Wyler
227,The Incredibles,2004-01-01,228," Craig T. Nelson,  Samuel L. Jackson",8.025616985393295,Brad Bird
228,To Be or Not to Be,1942-01-01,229," Carole Lombard,  Jack Benny",8.024507616337157,Ernst Lubitsch
229,The Grapes of Wrath,1940-01-01,230," Henry Fonda,  Jane Darwell",8.022651617846426,John Ford
230,La battaglia di Algeri,1966-01-01,231," Brahim Hadjadj,  Jean Martin",8.022619576595863,Gillo Pontecorvo
231,Rebecca,1940-01-01,232," Laurence Olivier,  Joan Fontaine",8.02235215709825,Alfred Hitchcock
232,Hachi: A Dog's Tale,2009-01-01,233," Richard Gere,  Joan Allen",8.021750764558627,Lasse Hallström
233,Cool Hand Luke,1967-01-01,234," Paul Newman,  George Kennedy",8.02141169629521,Stuart Rosenberg
234,Amores perros,2000-01-01,235," Emilio Echevarría,  Gael García Bernal",8.02096276075222,Alejandro G. Iñárritu
235,Pirates of the Caribbean: The Curse of the Black Pearl,2003-01-01,236," Johnny Depp,  Geoffrey Rush",8.020633184983293,Gore Verbinski
236,La haine,1995-01-01,237," Vincent Cassel,  Hubert Koundé",8.018235549251097,Mathieu Kassovitz
237,Les quatre cents coups,1959-01-01,238," Jean-Pierre Léaud,  Albert Rémy",8.016342595417852,François Truffaut
238,Babam ve Oglum,2005-01-01,239," Çetin Tekindor,  Fikret Kuskan",8.016167261678586,Cagan Irmak
239,Persona,1966-01-01,240," Bibi Andersson,  Liv Ullmann",8.01484680990048,Ingmar Bergman
240,It Happened One Night,1934-01-01,241," Clark Gable,  Claudette Colbert",8.014541792549725,Frank Capra
241,The Sound of Music,1965-01-01,242," Julie Andrews,  Christopher Plummer",8.013190342952585,Robert Wise
242,Life of Brian,1979-01-01,243," Graham Chapman,  John Cleese",8.012951473345499,Terry Jones
243,Dersu Uzala,1975-01-01,244," Maksim Munzuk,  Yuriy Solomin",8.010693573594853,Akira Kurosawa
244,Ah-ga-ssi,2016-01-01,245," Kim Min-hee,  Ha Jung-woo",8.010685939324999,Park Chan-wook
245,Jai Bhim,2021-01-01,246," Suriya,  Lijo Mol Jose",8.010268155600006,T.J. Gnanavel
246,Aladdin,1992-01-01,247," Scott Weinger,  Robin Williams",8.006002509392824,Ron Clements
247,Gandhi,1982-01-01,248," Ben Kingsley,  John Gielgud",8.00554264429254,Richard Attenborough
248,The Help,2011-01-01,249," Emma Stone,  Viola Davis",8.00485293587694,Tate Taylor
249,The Iron Giant,1999-01-01,250," Eli Marienthal,  Harry Connick Jr.",8.002390797554295,Brad Bird
